radius;frequency
0.5336699;0
0.6135907;0
0.7054802;0
0.8111308;0
0.9326033;0
1.072267;0
1.232847;0
1.417474;0
1.629751;0
1.873817;1.253896
2.154435;4.256205
2.477076;8.268789
2.848036;12.02817
3.274549;14.33323
3.764936;14.46274
4.328762;12.38824
4.977024;8.76943
5.722367;4.743382
6.579332;1.543037
7.564633;0
8.69749;0
10;0
11.49757;0
13.21941;0
15.19911;0
17.47528;0
20.09233;0
23.1013;0.7561812
26.56088;2.121296
30.53856;3.462726
35.11192;4.123797
40.37017;3.768175
46.41589;2.550907
53.36699;1.073456
61.35907;0.09635292
70.54803;0
81.11308;0
93.26033;0
107.2267;0
123.2847;0
141.7474;0
162.9751;0
187.3817;0
215.4435;0
247.7076;0
284.8036;0
327.4549;0
376.4936;0
432.8761;0
497.7023;0
572.2368;0
657.9332;0
756.4634;0
869.749;0
1000;0
1149.757;0
1321.941;0
1519.911;0
1747.528;0
2009.233;0
2310.13;0
2656.088;0
3053.856;0
3511.192;0
4037.017;0
4641.589;0
5336.699;0
6135.907;0
7054.802;0
8111.309;0
9326.033;0
